bout_idx,start_frame,end_frame,n_frames,duration_s,min_cycles,total_distance_mm,net_displacement_mm,mean_speed_mm_s,max_speed_mm_s,scut_z_mean,scut_z_std,scut_z_min,scut_z_max,height_speed_pearson_r,height_speed_pearson_p,height_speed_spearman_r,height_speed_spearman_p
1,6575,6978,404,0.505,2,4.574031667589722,4.004267576026643,9.078002955434675,24.451627717853185,1.8936216566822315,0.044721733379549176,1.7396678924560547,1.95770263671875,-0.273778331499466,2.2312520217130674e-08,-0.3317242214253126,7.831681543245358e-12
2,7080,7216,137,0.17125,3,5.703197860877373,5.60256898214409,33.562704936408544,59.138403479780465,2.0264342509917097,0.0343675729016981,1.9500518798828126,2.079726791381836,0.40037435978702796,1.2491707780318545e-06,0.4007229272723424,1.220458638329705e-06
3,400860,401073,214,0.2675,2,3.8329917736049284,3.623002059662562,14.394612959851495,36.00228912969831,1.9086575231819507,0.04287928266330358,1.8119144439697266,1.9852703094482425,0.6337025804059703,1.9775491553342784e-25,0.6244333364251591,1.551960208336614e-24
