bout_idx,bout_id,stop_num,stop_start_frame,stop_end_frame,stop_duration_ms,height_walk_before,height_during_stop,height_walk_after,speed_walk_before,speed_walk_after,delta_walk_to_stop,delta_stop_to_walk
8,8,4,94142,94178,45.0,2.097255058288574,2.0792713589138456,2.0718232421875,1.1005727400127157,5.140019911983359,-0.017983699374728435,-0.007448116726345599
8,8,5,94362,94374,15.0,2.1171075973510742,2.0955419858296715,2.087665245056152,1.9896459065282137,1.6927394492790804,-0.021565611521402683,-0.007876740773519408
8,8,6,94376,94394,22.5,2.1050859374999997,2.0942947599622936,2.0770905609130863,2.110777190971283,8.075500885980153,-0.010791177537706087,-0.017204199049207336
8,8,7,94401,94421,25.0,2.094426658630371,2.08207145690918,2.086775604248047,1.8364483228607107,22.44750076121319,-0.0123552017211912,0.004704147338867148
9,9,1,108411,108425,17.5,2.0752136764526368,2.1085846764700755,2.0934767761230466,4.040248357513523,1.9441644765674357,0.03337100001743876,-0.015107900347028913
9,9,2,108429,108442,16.25,2.091437210083008,2.0931421133188106,2.084593643188476,2.6494281138049187,1.8652542134384589,0.001704903235802746,-0.00854847013033444
9,9,3,108465,108478,16.25,2.0998976821899418,2.076247053879958,2.0418225479125978,1.8641837418174678,2.7750945389252775,-0.02365062830998399,-0.03442450596736002
9,9,4,108479,108493,17.5,2.0912402191162105,2.066902215140206,2.02771516418457,1.8831413726632373,3.392444899253577,-0.024338003976004607,-0.039187050955635794
9,9,5,108610,108621,13.75,2.0377890243530272,2.063982807506214,2.0688987579345706,3.4329985887464884,1.7907743843203372,0.026193783153186878,0.004915950428356464
9,9,6,108623,108635,15.0,2.046643608093262,2.0719668388366697,2.065710792541504,2.7460581924926464,1.8249143297788724,0.0253232307434077,-0.006256046295165518
9,9,7,108636,108657,26.25,2.0570916290283203,2.0707628340948196,2.054923721313477,2.249124282114241,1.814464209165833,0.013671205066499326,-0.015839112781342646
9,9,8,108658,108669,13.75,2.0689766387939454,2.0621100685813207,2.04791145324707,1.9706308907702053,1.8563363999427347,-0.006866570212624712,-0.014198615334250597
9,9,9,108685,108704,23.75,2.065710792541504,2.04723293906764,2.022561729431152,1.8249143297788724,1.580961230238198,-0.018477853473864325,-0.024671209636487834
9,9,10,108713,108727,17.5,2.051125686645508,2.0326532636369974,2.0020730895996093,1.9898534991922612,1.7145831924928778,-0.018472423008510486,-0.030580174037388108
9,9,11,108736,108749,16.25,2.0366540298461913,2.0110684028038612,1.994981719970703,1.7707216595419475,2.672912868279311,-0.025585627042330028,-0.016086682833158283
9,9,12,109302,109313,13.75,1.92423828125,1.9095437483354052,1.8836171684265137,3.9264978682380374,3.4517573580734022,-0.014694532914594882,-0.025926579908891467
9,9,13,109350,109362,15.0,1.8941164741516117,1.8704142252604168,1.8562280960083009,3.7799731898548803,2.8255001184637174,-0.023702248891194877,-0.014186129252115931
9,9,14,109450,109461,13.75,1.8453287353515626,1.8326816905628553,1.8587540969848633,2.4045005281876994,4.6619904406164,-0.012647044788707262,0.02607240642200792
9,9,15,109644,109663,23.75,1.9793955993652343,2.005584154630962,1.9910181350708007,3.3563190537391843,2.509965399091062,0.02618855526572772,-0.014566019560161347
9,9,16,109708,109726,22.5,1.9948825073242191,1.9670459535386824,1.9465935287475586,2.524904856079829,2.7187740886026894,-0.027836553785536733,-0.020452424791123747
9,9,17,109766,109776,12.5,1.9508683547973629,1.9403634262084961,1.9282062988281248,2.860704894302935,1.3333188687918867,-0.010504928588866758,-0.012157127380371335
9,9,18,109779,109823,55.0,1.945761917114258,1.9279666293751108,1.9212176971435548,2.7595415491474737,3.9141542669793226,-0.01779528773914718,-0.006748932231555926
11,11,1,130700,130714,17.5,2.034164810180664,2.050422504970006,2.036995025634766,10.96973954843841,2.6937077330888033,0.016257694789342025,-0.013427479335240022
11,11,2,130718,130741,28.75,2.0429554061889648,2.044966805499534,2.022476844787598,6.386389927741637,1.9825985057350308,0.0020113993105690398,-0.022489960711935986
11,11,3,130746,130758,15.0,2.046104461669922,2.0259900093078613,2.0224121093750003,2.526098807410167,2.322461831991952,-0.020114452362060664,-0.0035778999328610617
11,11,4,130775,130789,17.5,2.0290058670043947,2.0208442960466657,2.028900512695312,1.91491272121924,2.752682684158746,-0.008161570957728959,0.00805621664864642
11,11,5,130790,130801,13.75,2.022827377319336,2.0272602081298827,2.029030609130859,2.400707166701602,3.3727663249360864,0.004432830810546573,0.0017704010009764737
11,11,6,130834,130844,12.5,2.0276080017089844,2.033462905883789,2.0201944961547853,2.9200992563636117,3.1115480372101123,0.005854904174804609,-0.013268409729003672
11,11,7,130872,130886,17.5,2.0252239379882813,2.0220596585954937,2.020750991821289,3.1279366815699587,1.5740596437277576,-0.003164279392787517,-0.0013086667742046032
11,11,8,130902,130990,110.0,2.018813041687012,2.021421016346324,2.09705419921875,2.46537332334013,13.398265199293764,0.0026079746593121733,0.07563318287242593
11,11,9,131213,131233,25.0,2.08033464050293,2.120191020965577,2.1228444976806644,6.771890988343794,2.984684131022255,0.039856380462647056,0.0026534767150874217
11,11,10,131275,131290,18.75,2.1252796936035154,2.1115459696451824,2.083180824279785,3.1028124668110415,2.0137631839184906,-0.013733723958333055,-0.02836514536539747
11,11,11,131302,131312,12.5,2.114856742858887,2.09718147277832,2.060402725219727,2.617842544795287,1.992759090391607,-0.017675270080566907,-0.03677874755859323
11,11,12,131320,131330,12.5,2.1011054382324215,2.0752315521240234,2.0499113388061523,2.1271037055425905,1.5429930567629988,-0.025873886108398025,-0.025320213317871154
11,11,13,131331,131349,22.5,2.0932001724243166,2.0516458935207798,2.042976921081543,2.0215792668920156,1.5986682923166764,-0.0415542789035368,-0.00866897243923681
