bout_idx,start_frame,end_frame,n_frames,duration_ms,mean_speed_mm_s,max_speed_mm_s,dominant_z_freq_hz,dominant_z_period_ms,gait_freq_hz,z_oscillation_std_um,z_oscillation_range_um,total_distance_mm
1,13266,13464,199,248.75,26.50568390067905,47.20584162888881,8.080808080808081,123.74999999999999,11.319340629755134,34.856527821723894,132.80557601507238,6.559728789858163
2,14394,15682,1289,1611.25,6.076649709788489,32.80366751210164,6.25,160.0,3.8544424898170475,43.4785580408607,217.73427822700197,9.772029357110274
3,22271,23249,979,1223.75,22.161661260583863,56.14243493930431,6.25,160.0,10.266386521788816,72.23655978858525,348.408855440741,27.099550094518772
4,43507,44167,661,826.25,7.559218058674963,32.415946160192135,6.25,160.0,4.642991300203669,30.311808306125684,116.21827049842804,6.23165423430273
5,46485,47735,1251,1563.75,10.282532432075053,49.57240480174743,6.25,160.0,7.7509602885699564,32.805994348800866,231.94352532745177,16.06066400800234
6,50194,50952,759,948.75,22.898362957995754,60.825997900277464,6.25,160.0,10.438434056671985,64.6699169124841,411.36426311215945,21.684301266560674
7,79320,80349,1030,1287.5,18.529459950541412,55.49792861875529,6.25,160.0,11.814612750420116,57.655653960210806,289.919920544653,23.845703303930794
8,93233,94967,1735,2168.75,12.695609493623742,59.020890767181946,6.25,160.0,6.4247128152808815,59.52321306352136,398.0307707148354,27.501051758833906
9,107609,110063,2455,3068.75,9.562348691415595,54.837461587198646,6.25,160.0,8.467925860134855,47.4375999324146,393.923769560903,29.333661623188004
10,120683,121355,673,841.25,19.549543002880934,66.66136661741695,9.375,106.66666666666667,10.543164057640915,48.15110507982991,210.2244236585178,16.425603318627154
11,130277,132263,1987,2483.75,10.518571547018643,52.500186143556625,6.25,160.0,5.556997154183935,41.008286858923356,239.44681923401222,26.112394905752005
12,137577,138572,996,1245.0,18.642073598308947,54.20525630302142,6.25,160.0,9.40485511266647,37.51347586946976,191.4098146557448,23.191254606239475
13,144488,145503,1016,1270.0,17.881025899031012,54.913486502961604,6.25,160.0,9.301276818199444,52.24080327636785,300.7815170273875,22.690881867609946
14,148355,150115,1761,2201.25,10.433462467775634,38.0502314722203,6.25,160.0,8.673426923055791,60.65919036280741,441.4558226135452,22.949849212700098
15,162274,164000,1727,2158.75,13.26496265068414,62.97091489536755,6.25,160.0,7.389605764406009,62.714059604967595,366.2943749055609,28.62461865293206
16,168466,169742,1277,1596.25,15.352656176707361,58.322154813342685,6.25,160.0,8.766798502078759,67.33559665901512,337.29401111985146,24.49152796791344
17,178526,179316,791,988.75,17.152230089665466,43.98866600750548,6.25,160.0,8.946236598929763,105.7336229180067,527.042333449503,16.93776026717203
18,189747,191461,1715,2143.75,12.69487707920301,37.25669121219753,6.25,160.0,8.827201352617822,53.590111216560445,306.8065924669343,27.193508494495855
19,199908,201034,1127,1408.75,14.587877035965734,41.16521620451546,6.25,160.0,9.907804221207911,78.53153841626768,349.87456382556223,20.532639830466707
20,205577,206546,970,1212.5,11.495764374375128,35.5620162544205,6.25,160.0,7.401536224383208,56.34166066720512,242.40138704204074,13.91554566247151
21,213453,214982,1530,1912.5,12.306637447404265,37.73262276539925,6.25,160.0,7.262087821521793,57.97206400555944,322.39457539135594,23.529620830246756
22,242365,243623,1259,1573.75,15.379826737259348,53.97701993876902,6.25,160.0,8.864061950994744,43.46351894309641,231.26150722607574,24.188977249783605
23,248357,249411,1055,1318.75,20.234137025970302,56.69876201027249,6.25,160.0,11.445227225051298,82.83654675172465,427.2842084621047,26.66754249931994
24,266762,267276,515,643.75,13.199583278433762,36.916197036722856,6.25,160.0,7.695691847547969,88.52479626052427,340.3459846750458,8.478293011728613
25,272716,273857,1142,1427.5,19.22143612173492,68.61069154796314,6.25,160.0,12.457672368628534,79.52912702123395,453.7847441257363,27.416151146563617
26,286443,287470,1028,1285.0,15.788914471321073,49.60255044854507,6.25,160.0,9.326451137372967,39.426744865753776,202.03083513244047,20.27051953549573
27,317343,318215,873,1091.25,8.819668477367363,38.51790364476408,6.25,160.0,5.464984992896355,42.09854762697522,166.23410237926572,9.603358365729136
28,319067,320016,950,1187.5,12.43435999937948,54.83037714417559,6.25,160.0,9.22353979735906,26.57479993380098,131.5658329133027,14.759344939665063
29,330933,331351,419,523.75,14.315254126486877,34.584717810956974,7.6555023923444985,130.62499999999997,7.648193927926773,55.24433931069357,258.2384714593231,7.471511261874296
30,343104,345831,2728,3410.0,7.479765530677195,39.34571723719896,6.25,160.0,4.966763212174835,36.12985382803592,292.42001171243004,25.498254418712296
31,356348,357478,1131,1413.75,15.469323381436553,42.66920996731364,6.25,160.0,9.854378971590206,48.644474371741715,213.58603646765962,21.861682011501976
32,364029,365064,1036,1295.0,18.059942052979512,50.83675577954633,6.25,160.0,10.103811152372716,71.20691688986693,334.0623546132002,23.37872568694712
33,380767,382481,1715,2143.75,14.395704929236375,57.81849951801568,6.25,160.0,7.931868802155206,72.35795457652523,393.1110849881698,30.843743525859445
34,393578,395181,1604,2005.0,13.112627726615225,47.33333643967002,6.25,160.0,8.445125672523284,76.28644096591823,383.50140605399474,26.279196173950012
35,402318,402874,557,696.25,20.682199875008298,44.63043043786244,12.5,80.0,11.424306049176096,64.95444596262175,337.00149159080615,14.375897367555138
36,414580,415865,1286,1607.5,15.622500368533485,40.936338144525116,6.25,160.0,8.642685175752904,75.177067632294,383.28691687446127,25.09758750760676
37,422907,423883,977,1221.25,18.018460225269056,52.8062679781532,6.25,160.0,10.61367624409198,67.46081926096944,375.07064899980105,21.98057794305467
38,433648,434688,1041,1301.25,17.519770900005042,46.462641945849114,6.25,160.0,10.74282952944072,94.64329073684898,443.4562923226684,22.776509279029888
39,449971,451836,1866,2332.5,10.73278345845303,39.4509593834314,6.25,160.0,5.956942571834156,70.46467510507667,377.6830342961632,25.027889804255885
40,457367,459066,1700,2125.0,12.343846281027634,38.588961452171354,6.25,160.0,7.045095125445635,77.43341228594257,328.99942772510315,26.20898430667087
41,480814,482046,1233,1541.25,16.800966819630037,63.54438824969585,6.25,160.0,8.498383786035417,77.53757560258899,378.887542664434,25.877560450095885
42,488277,489020,744,930.0,23.4574619302836,50.4049788193593,6.25,160.0,12.131111264158916,61.19235679645254,272.6797433545078,21.798421555813242
43,523562,525047,1486,1857.5,12.227272497894331,35.113573517245186,6.25,160.0,7.515653295672675,59.33336645753023,309.66267004204485,22.70121902028459
44,534761,535761,1001,1251.25,9.5787529229606,46.417305126302075,6.25,160.0,8.664672751990814,37.794603184730974,208.91095821905824,11.971661514811853
45,536311,536514,204,255.0,19.885603615430426,35.61114616061805,7.8431372549019605,127.5,7.501612002837791,37.09070325527767,145.85042375597635,5.046279565125234
46,542443,543794,1352,1690.0,13.23202261342777,52.06290434174269,6.25,160.0,7.657771820773137,55.97942303561503,288.84701316567265,22.348829310645037
47,550869,552427,1559,1948.75,14.340740146266482,93.37388207087064,6.25,160.0,7.82209618005648,56.74473995867472,351.8482669962526,27.934398276201815
48,556054,556495,442,552.5,12.090250606464238,37.382488234689525,7.239819004524887,138.125,5.279918675962253,144.01095072718252,567.0210870994215,6.661366990759232
49,559801,560844,1044,1305.0,11.324702380848777,28.679962132225604,6.25,160.0,7.625247054151969,63.55243509409875,307.5902817766445,14.77729368194598
50,568466,569528,1063,1328.75,17.488381905939004,50.24255473712932,6.25,160.0,11.361386715135767,75.96149021148898,419.6434661046473,23.21866973363753
51,580490,581842,1353,1691.25,10.424830526933611,47.38261195672675,6.25,160.0,7.040412839884002,43.57324115321805,200.64332600774293,17.620812186145987
52,589696,590355,660,825.0,17.16829811458455,40.118405334122244,6.25,160.0,10.592947513828255,44.41330512292035,192.6863686025122,14.15892682501546
53,615761,616209,449,561.25,12.763462155335606,34.02413327001659,7.142857142857142,140.0,8.814119364463933,47.57897998491296,231.84857947335934,7.159132319521404
54,616799,617716,918,1147.5,11.529021825992677,31.072679100280098,6.25,160.0,7.007592006757402,57.40803048457919,232.66918630165878,13.216053599376512
55,628683,628961,279,348.75,11.720344018413806,23.24521331815686,5.755395683453237,173.75,8.438902762433488,65.87266383949546,286.0161039245699,4.0678655289591905
56,632481,632785,305,381.25,11.898698577573278,28.62124396053488,5.2631578947368425,190.0,5.6049192896500495,41.95969253258101,173.3695244306226,4.513806567990213
57,633299,633938,640,800.0,11.371152376635706,31.931306646262797,6.25,160.0,8.52473319534614,52.04558954896129,226.24415812446253,9.093302974190804
58,662470,664876,2407,3008.75,6.88516811924423,45.08951944012162,6.25,160.0,7.299571853176415,63.22083047640102,520.7330316067766,20.699878114932076
59,666853,667978,1126,1407.5,9.766704607444776,32.823077818592466,6.25,160.0,7.715888315643315,34.71109687896013,169.24836134073118,13.741890498988337
60,678006,679267,1262,1577.5,13.303904812023035,42.790932261927054,6.25,160.0,8.529084003322255,56.63079352097689,351.78487757051124,20.965064880616698
61,687431,688785,1355,1693.75,14.214447978977809,39.138016689976695,6.25,160.0,9.376641970786254,68.05202693592032,436.9980625072949,24.06483223928
62,699932,700917,986,1232.5,13.009600939478418,40.071171405742,6.25,160.0,7.323831904242068,67.76061861587263,344.59003428733513,16.01355853522595
63,709573,710883,1311,1638.75,14.626287948478218,36.49598182616218,6.25,160.0,9.116544826417904,71.23670583967787,438.0567056390048,23.955819013025398
64,721297,722110,814,1017.5000000000001,9.18636856152307,27.1254285560878,6.25,160.0,6.7540862421488725,79.77974413863954,371.95209261083704,9.331549768047324
65,722723,724295,1573,1966.25,11.401895223649031,53.68449583643925,6.25,160.0,6.585511854284483,71.67029303935358,356.72669613764987,22.407446026873075
66,739227,740462,1236,1545.0,15.127226841611034,48.85036719921481,6.25,160.0,10.398701488496478,71.62791647124172,332.0950295963236,23.34960647263467
67,777843,779468,1626,2032.5000000000002,12.897887054595461,37.67521737780668,6.25,160.0,8.843217452889105,47.986151534877635,257.84375024617214,26.202973081908667
