bout_idx,start_frame,end_frame,n_frames,duration_s,min_cycles,total_distance_mm,net_displacement_mm,mean_speed_mm_s,max_speed_mm_s,scut_z_mean,scut_z_std,scut_z_min,scut_z_max,height_speed_pearson_r,height_speed_pearson_p,height_speed_spearman_r,height_speed_spearman_p
1,13266,13464,199,0.24875,3,6.559728789858163,6.42112567254784,26.50568390067905,47.20584162888881,2.0799419038858846,0.04918944905923671,1.976397705078125,2.176903915405273,0.6109059056186537,9.580402223016716e-22,0.6253961570718273,5.382883389564064e-23
2,14394,15682,1289,1.61125,4,9.772029357110274,4.931254903553276,6.076649709788489,32.80366751210164,2.149925614883032,0.07591495714886799,1.9085453033447266,2.2867855072021483,-0.49312133686774806,6.1517498535446814e-80,-0.49231937543903576,1.2060647257609258e-79
3,22271,23249,979,1.22375,12,27.099550094518772,19.713227882093893,22.161661260583863,56.14243493930431,2.104993313642274,0.08803543863321958,1.8728004455566407,2.267809295654297,0.35367512729026757,3.201001109608379e-30,0.3453930521762896,8.216852021280584e-29
4,43507,44167,661,0.82625,3,6.23165423430273,4.8007441416845555,7.559218058674963,32.415946160192135,2.1414164042508905,0.034173169705309404,2.053205871582031,2.211960220336914,-0.5785020289941376,2.6340236252658714e-60,-0.6265566913646179,2.2677603637553433e-73
5,46485,47735,1251,1.56375,7,16.06066400800234,11.43179796695764,10.282532432075053,49.57240480174743,1.9956874490641863,0.06993051046624976,1.9097503662109372,2.190715789794922,0.6672032383377419,5.77525754773409e-162,0.6440240562363456,1.7419204146201668e-147
6,50194,50952,759,0.94875,9,21.684301266560674,17.568684446977436,22.898362957995754,60.825997900277464,2.1575119541253653,0.08438029677897897,1.824813842773437,2.3243434906005858,0.11409257579354476,0.0016419460101585947,0.03697112276582033,0.3090479268593882
7,79320,80349,1030,1.2875,13,23.845703303930794,19.346654166515506,18.529459950541412,55.49792861875529,2.0787269333033884,0.06926439182297417,1.8544635772705083,2.2456764221191405,0.13726720725374464,9.824789564382863e-06,0.15933124063848664,2.744808770671145e-07
8,93233,94967,1735,2.16875,14,27.501051758833906,19.49264716141884,12.695609493623742,59.020890767181946,2.083176248863726,0.06793974240853067,1.7591388702392579,2.2277217864990235,-0.15877499600500367,2.91162629765204e-11,-0.10578264796188304,1.0081528413279867e-05
9,107609,110063,2455,3.06875,13,29.333661623188004,19.7813465163665,9.562348691415595,54.837461587198646,1.9871805689825301,0.1007994645855475,1.7391727447509766,2.238513565063477,0.4225114794399356,6.858637100506768e-107,0.37714361291488663,8.022226785887454e-84
10,120683,121355,673,0.84125,9,16.425603318627154,15.215759413208401,19.549543002880934,66.66136661741695,2.0151302190273332,0.05951998609476575,1.8451240539550782,2.134237670898437,0.41359743540231764,3.41009379061689e-29,0.4378901004367363,6.704511872674322e-33
11,130277,132263,1987,2.48375,14,26.112394905752005,20.060695247245903,10.518571547018643,52.500186143556625,2.0838554004118195,0.0635684967907424,1.9890251159667969,2.254691314697266,0.14561168604052296,6.962829268416572e-11,0.26611215176967956,1.4663175032285994e-33
12,137577,138572,996,1.245,12,23.191254606239475,20.058439196425226,18.642073598308947,54.20525630302142,2.1016067474242672,0.042657112834111846,1.946352767944336,2.168784713745117,-0.03926723377771634,0.2156514187251567,-0.1232193667012911,9.670241603778288e-05
13,144488,145503,1016,1.27,11,22.690881867609946,19.738646900728114,17.881025899031012,54.913486502961604,2.0532547629724336,0.05593869835170879,1.9436309814453125,2.258042526245117,0.2794002745569154,1.1242095353282414e-19,0.34618154428618414,5.607314620345304e-30
14,148355,150115,1761,2.20125,13,22.949849212700098,17.503484091472014,10.433462467775634,38.0502314722203,2.0141316462077588,0.08071731452733198,1.7329227447509765,2.1576061248779297,0.0943964782735136,7.268292137483889e-05,0.2117459079064075,2.6714555042424573e-19
15,162274,164000,1727,2.15875,15,28.62461865293206,17.622779844001474,13.26496265068414,62.97091489536755,2.0040417525971215,0.0911028878819475,1.6926843643188476,2.1838706970214843,-0.20098691053101783,3.3808699709922423e-17,-0.28134869473175683,8.737684700168463e-33
16,168466,169742,1277,1.59625,13,24.49152796791344,18.15872347351752,15.352656176707361,58.322154813342685,2.0199974802386134,0.07560249021948667,1.801180648803711,2.180562973022461,0.14806583123297085,1.0648526598788898e-07,0.22003192328776086,1.822984783425676e-15
17,178526,179316,791,0.98875,9,16.93776026717203,12.561517220720111,17.152230089665466,43.98866600750548,1.9936563976495216,0.12857801892131332,1.589481735229492,2.159891891479492,0.36218208109870587,6.300859134003602e-26,0.3700733533348739,4.435232167909671e-27
18,189747,191461,1715,2.14375,13,27.193508494495855,19.85015803359578,12.69487707920301,37.25669121219753,1.994252287750689,0.07178626567815768,1.77831974029541,2.157082748413086,0.21679552088739118,1.0887033652518792e-19,0.19833903183653268,1.1303083248806565e-16
19,199908,201034,1127,1.40875,11,20.532639830466707,14.547411059048418,14.587877035965734,41.16521620451546,1.893424946328868,0.10332877342039541,1.6781869888305665,2.1236614227294917,0.43464919051596407,3.8445092225192444e-53,0.4035884657567992,2.164693472317785e-45
20,205577,206546,970,1.2125,7,13.91554566247151,10.627359858143897,11.495764374375128,35.5620162544205,2.00838753454464,0.062252965132146176,1.8348899841308597,2.1137603759765624,-0.12968022308514157,5.1048061763584986e-05,-0.13054407550062888,4.5426267732510426e-05
21,213453,214982,1530,1.9125,14,23.529620830246756,16.258597764668835,12.306637447404265,37.73262276539925,2.0351906550787633,0.07770692238607338,1.7901805877685546,2.23028678894043,0.050083561635396366,0.05015292725282939,0.0582752301668317,0.022636025718105756
22,242365,243623,1259,1.57375,13,24.188977249783605,19.291022055985657,15.379826737259348,53.97701993876902,2.0956947523606404,0.06712413808178373,1.953313446044922,2.223831558227539,-0.23616377112383488,2.0358660422719082e-17,-0.2955195946540631,8.60452300899225e-27
23,248357,249411,1055,1.31875,12,26.66754249931994,19.546366033802546,20.234137025970302,56.69876201027249,2.0190930394538773,0.09173163030176729,1.7107532501220704,2.1883365631103517,0.4050577466809636,6.353385703732439e-43,0.3955411556525528,7.723790654719354e-41
24,266762,267276,515,0.64375,4,8.478293011728613,7.03452593127989,13.199583278433762,36.916197036722856,2.013479978320668,0.09532154643195519,1.7933969497680664,2.1680797576904296,-0.18851338362638478,1.6599019568734713e-05,-0.06850691667436487,0.1204909373164409
25,272716,273857,1142,1.4275,14,27.416151146563617,19.154995128957868,19.22143612173492,68.61069154796314,1.9540218344920572,0.093244274468107,1.642159652709961,2.1304664611816406,0.341677474232699,1.2777501523939832e-32,0.36175915884903137,1.2327464403444186e-36
