bout_idx,start_frame,end_frame,n_frames,duration_s,min_cycles,total_distance_mm,net_displacement_mm,mean_speed_mm_s,max_speed_mm_s,scut_z_mean,scut_z_std,scut_z_min,scut_z_max,height_speed_pearson_r,height_speed_pearson_p,height_speed_spearman_r,height_speed_spearman_p
14,381463,382134,672,0.84,3,5.999906685411191,3.0616299964475813,7.163003337575126,47.03686751119861,1.9497000898633683,0.03048032586749377,1.8764612197875976,2.029446220397949,-0.22691258936482558,2.6967617891743803e-09,-0.2708338000282538,9.222429333041625e-13
15,394626,394818,193,0.24125,4,8.22019348597579,7.953387057722797,34.19807969905742,57.09572457032046,1.972822614284377,0.043305222920472716,1.865087509155273,2.0423450469970703,-0.3949094046858424,1.321045109266712e-08,-0.37950712915442897,5.2378611464527023e-08
16,394822,395378,557,0.69625,4,7.92726732803912,6.4113362223715855,11.422201376738677,42.91410915458677,1.9907269969234775,0.023030112800972526,1.9461463928222655,2.061334609985352,-0.027758055348108962,0.5132613459061313,-0.026626213013696977,0.5305932394614843
17,400152,400398,247,0.30875,2,6.055570869356941,5.414136877412722,19.715932675538088,55.009643569620046,1.9124707805000336,0.026051202722243,1.8352123260498048,1.962883758544922,-0.15730386397263316,0.013319425806307697,-0.24086127170047172,0.00013201981060944988
18,465943,466603,661,0.82625,7,15.248718527653619,12.022577725647375,18.498188749509303,59.03828114581528,1.9118033898219398,0.09113374022451036,1.6538068771362304,2.0408714294433596,-0.3676759562987087,1.376763118842405e-22,-0.42061970328490855,1.0079308996307603e-29
19,485121,485590,470,0.5875,5,11.132752733604724,8.723070112666598,19.040587223287243,56.545436620797965,1.9190631022351856,0.04115956123170035,1.810289001464844,1.988566017150879,-0.4383450338903431,1.7251006056607805e-23,-0.5153828469822213,3.0025181435124872e-33
20,528380,528660,281,0.35125,3,7.3576899201199675,6.745913943637042,21.13826446693994,78.57970696468989,1.9544978823950283,0.04292295940644352,1.849649429321289,2.022256088256836,-0.5864537908857966,2.356920941320883e-27,-0.6888247424018632,7.264397222696243e-41
21,551738,551937,200,0.25,3,4.8617774293992415,4.424536318222448,19.61010901176332,48.290657470270276,1.9139402904510499,0.030401497548794204,1.8533027648925782,1.9861885070800782,0.2184531833570591,0.0018858048737328721,0.22889455819943041,0.0011134948464916244
22,574241,575003,763,0.95375,10,16.82383852516564,14.839990516433703,17.657153541351462,41.21181194679341,1.954052315158269,0.04552026457684226,1.7865346908569335,2.0361961364746093,0.02725923210233635,0.4521279619867166,-0.06405810615515471,0.07700114307016123
23,578572,579020,449,0.56125,5,9.27899249741489,8.496203920971734,16.553503066093036,45.96472452458952,1.9063831805120863,0.027587964183843877,1.837975311279297,1.9657508850097656,-0.2685223129690112,7.446779808115575e-09,-0.25944971164259584,2.4313485865693768e-08
