bout_idx,start_frame,end_frame,n_frames,duration_ms,mean_speed_mm_s,max_speed_mm_s,dominant_z_freq_hz,dominant_z_period_ms,gait_freq_hz,z_oscillation_std_um,z_oscillation_range_um,total_distance_mm
1,8693,8988,296,370.0,10.184386979936058,35.564474534403146,5.405405405405405,185.0,5.559776352636566,19.895761039519112,92.38793415805846,3.7397430940114003
2,22733,22984,252,315.0,19.06980242296431,42.75704523503231,6.349206349206349,157.5,6.3378798111770305,45.70149599643151,200.96089962830277,5.957564473073578
3,63233,64081,849,1061.25,19.16727684259461,49.85839284303337,6.25,160.0,10.330596796010017,56.560447233242684,298.6342445793977,20.32961726223801
4,86289,86667,379,473.75,23.41172978606567,45.43976457658425,8.465608465608465,118.125,12.359317700998206,52.870648333584086,317.9445161825065,11.054485973641002
5,93317,93946,630,787.5,19.283445579758975,48.687844438797626,12.5,80.0,10.294680376443619,37.71983932139363,197.22256093058553,15.165870616460461
6,139790,140571,782,977.5,21.204134743565113,47.9519455837498,9.375,106.66666666666667,11.16511397718231,41.06134355638663,222.87696719201966,20.704945309315917
7,251413,251528,116,145.0,28.223646010108826,48.174667463214185,27.586206896551726,36.25,14.908367493093609,12.914258173025347,52.81541867527717,4.069159779996757
8,261481,261651,171,213.75,26.406768718903965,46.30136968907099,9.411764705882353,106.25,13.519819652871334,24.83695616097686,112.78326475605272,5.6249977147673444
9,265605,266067,463,578.75,28.632616039453705,56.215971780263274,6.926406926406926,144.375,13.913623308714316,50.72654676314106,224.236341438512,16.5114857113808
10,272286,272706,421,526.25,27.981361922119902,47.222709941344995,15.238095238095237,65.625,13.25262725453028,44.86213967163194,177.91605520600152,14.703980509093682
11,292608,292769,162,202.5,25.6299302447777,52.227354108771706,9.876543209876543,101.25,9.45324355749223,33.84630928114807,138.16644189292583,5.145581087459384
12,315162,315655,494,617.5,28.59781433370965,56.295597967201246,6.477732793522267,154.375,14.44677671225141,34.26288742432678,166.63647036571106,17.63189653356306
13,319097,319279,183,228.75,26.40142436334827,52.711255752470656,8.79120879120879,113.75000000000001,8.426853237782097,83.20855982725293,294.8521222365008,5.99848839711105
14,381463,382134,672,840.0,7.163003337575126,47.03686751119861,6.25,160.0,3.4502100228804924,28.023007725759626,139.0867200018071,5.999906685411191
15,394626,394818,193,241.25,34.19807969905742,57.09572457032046,8.333333333333334,119.99999999999999,16.45112398918935,34.15279016245683,147.18144766603825,8.22019348597579
16,394822,395378,557,696.25,11.422201376738677,42.91410915458677,6.25,160.0,8.490007120981092,25.24287668315834,98.07863804785933,7.92726732803912
17,400152,400398,247,308.75,19.715932675538088,55.009643569620046,6.504065040650406,153.75,10.379226649746965,27.034401030923515,115.49076334530196,6.055570869356941
18,465943,466603,661,826.25,18.498188749509303,59.03828114581528,6.25,160.0,8.505528826849355,58.300393640033626,288.1592008690943,15.248718527653619
19,485121,485590,470,587.5,19.040587223287243,56.545436620797965,6.808510638297872,146.875,10.134011093644402,36.68931480370264,175.23632860910232,11.132752733604724
20,528380,528660,281,351.25,21.13826446693994,78.57970696468989,5.7142857142857135,175.00000000000003,8.451325131696652,46.97484313583191,160.75061040993722,7.3576899201199675
21,551738,551937,200,250.0,19.61010901176332,48.290657470270276,8.0,125.0,12.95451912354841,32.87435608420625,101.22301404658107,4.8617774293992415
22,574241,575003,763,953.75,17.657153541351462,41.21181194679341,6.25,160.0,10.400300177446256,36.147654913534744,164.38833214216908,16.82383852516564
23,578572,579020,449,561.25,16.553503066093036,45.96472452458952,7.142857142857142,140.0,9.220810095310352,26.227015578249116,114.08525893334054,9.27899249741489
