keypoint,mean_conf,std_conf,min_conf,median_conf,pct_above_85,pct_above_90
T1L_TiTa,0.7347054838018459,0.25502498171511984,0.02300949,0.8670985,21.127238198589257,13.25341381805028
WingR_base,0.7485481459695004,0.22997269091736228,0.054065414,0.85597956,19.888316151202748,15.067145957677699
WingR_V12,0.7514112341855774,0.24521221376554728,0.023863148,0.88668597,22.33055254114668,17.351125881714598
T1L_TaT1,0.7521774323644319,0.2621673386123224,0.0296672,0.8868346,22.69397721106891,17.373733948272744
T2R_TiTa,0.7549987009387108,0.21607065432539718,0.03749132,0.8500166,19.505674624706096,10.43870953156086
WingL_V12,0.7600131634751583,0.2591943436002036,0.017179575,0.89344,24.97513112678604,17.667073611864716
WingL_base,0.7604168072481563,0.21879011144113789,0.051664803,0.86937296,20.720293000542593,15.866906312172183
T2L_Tro,0.7641507229053567,0.16226299585897253,0.05721056,0.811007,15.222011213601014,8.361593416531019
T3L_Tro,0.7648713650062594,0.16144421825690589,0.07510636,0.8238722,16.052857659612947,7.7534364261168385
T1L_TaT3,0.7653160254293145,0.24918255982676932,0.025171526,0.8889184,23.594908663411104,17.342647856755292
T1R_TiTa,0.7691156335582683,0.22485718180368003,0.044001166,0.88105786,22.92797069994574,15.488786398987159
T1L_FeTi,0.7725896122279583,0.23121818256301022,0.024086727,0.8872263,22.436810453969976,17.722463374932175
T1L_TaTip,0.7729073554253588,0.24367243249537185,0.028673971,0.8892724,24.17650117561946,17.217738289021522
T1R_FeTi,0.773336642050886,0.22487809348972287,0.04273,0.8819459,21.89478205823838,17.313822571893652
T1L_ThxCx,0.7760032902240172,0.1705029436966137,0.04323512,0.8468122,18.89186561765238,6.832157713872309
T1R_TaT3,0.7805471868886217,0.2288860559366558,0.036006615,0.8938857,24.165197142340386,18.25940495568819
T2R_FeTi,0.780952369733341,0.20433465261396666,0.05089253,0.8744235,21.354449267498644,16.486367335865438
T2L_TaT3,0.7818624996075315,0.2327767449687814,0.024866598,0.8875944,26.45313347802496,15.295487429914994
T3L_FeTi,0.7824987004303577,0.20755962989017762,0.031190865,0.8783795,22.518199493579306,16.156289564116477
T3L_TiTa,0.7834352888788993,0.2174577454446984,0.032464404,0.8908874,24.09850334599385,17.57494574064026
T3R_TiTa,0.7847056050965414,0.21085955499895004,0.057352256,0.88023424,23.519171640441307,14.891368240188099
T1R_TaT1,0.7866609042864512,0.23789519417461663,0.039663173,0.90824175,24.399755832881173,20.777378368601916
T1R_TaTip,0.786931913842604,0.2196335736453098,0.047332164,0.8918539,24.836091517453426,17.459079399529752
T1R_ThxCx,0.7876919458489358,0.17084087629198244,0.040041883,0.855175,20.21387230964008,10.436448724905047
T2R_Tro,0.7878570138615124,0.16662020150264406,0.072665356,0.8431129,18.8342150479291,11.678761982275276
T2L_TaTip,0.7893757764565106,0.2397264824347012,0.01811037,0.90053135,26.658301682040154,19.63962741906312
T2R_TaT1,0.7918369042421288,0.22444518951572062,0.027183836,0.8896532,24.215500090432265,17.703811720021704
T2L_TiTa,0.7920092153465957,0.20200697751684724,0.03607125,0.8823889,23.865075058780974,15.295487429914994
T2R_TaT3,0.7979716004657549,0.21435057932429086,0.015952779,0.88873804,26.29996382709351,16.050596852957135
T3R_Tro,0.7990364439896837,0.15829946917216783,0.0631164,0.85489404,20.02283414722373,12.490956773376741
T1R_Tro,0.7999110489450426,0.18296776132742973,0.05639994,0.8730954,22.370681859287394,14.625158256465905
T3L_TaTip,0.8002440618565426,0.21888402523907718,0.02668297,0.89757437,26.338397540242358,18.877170374389582
T2L_FeTi,0.8015447000613327,0.19301734634649564,0.07031286,0.8904855,23.395392476035447,17.936674805570625
Scutellum,0.8035864301995884,0.1900320105696606,0.038534116,0.8873345,24.456275999276542,16.754838126243442
T3L_TaT3,0.8054683871370677,0.21738575178753697,0.016997473,0.9013263,27.34276089708808,19.889446554530657
T1L_Tro,0.8060236572883058,0.18478482651598208,0.05763162,0.88381976,22.944926749864354,17.149348887683125
T3R_TaT3,0.8083441733606068,0.21505965302991276,0.017089125,0.8997452,26.179010671007415,19.440111231687464
Abd_A4,0.811097515082313,0.1932401803156618,0.045142528,0.90357137,24.283889491770662,20.099701573521433
T3R_FeTi,0.8113756073595346,0.19542125363920967,0.051497314,0.9005257,24.837787122445288,19.596106890938685
T3R_TaT1,0.8118737285039627,0.22776819833610534,0.035041254,0.91968364,25.789021522879363,22.423810815699042
T2R_TaTip,0.8126275344630888,0.21501916679095595,0.021230362,0.90179485,27.437714776632305,20.008138903960933
T3L_TaT1,0.8152341101512816,0.22409514756573706,0.022749811,0.9207038,26.520392476035447,23.034228612769038
T2L_TaT1,0.8191751119565035,0.2232537836735259,0.022079468,0.91806376,27.742358473503348,23.330394284680775
T3R_TaTip,0.8316323054578438,0.22178232738429898,0.024105558,0.925849,28.65855037077229,24.814048652559233
EyeR,0.8417103512119912,0.1749893702385381,0.041996773,0.9134629,27.673403870500994,22.528373123530475
WingL_V13,0.8471174991265196,0.2030718061503357,0.024472306,0.9276684,30.161421595225175,26.46048109965636
Antenna_Base,0.8472301177378908,0.18623603429719593,0.03672328,0.9244006,28.09617471513836,24.516187375655633
WingR_V13,0.8546487652414767,0.19127946932992704,0.01412705,0.92951065,29.49900524507144,25.85288931090613
Abd_tip,0.8588480200674616,0.1597995908574514,0.051661726,0.9226293,28.7133749321758,24.650140170012662
EyeL,0.8595807180944405,0.17235381169778272,0.03603429,0.93181336,28.420600470247788,24.779571351058056
