bout_idx,bout_id,stop_num,stop_start_frame,stop_end_frame,stop_duration_ms,height_walk_before,height_during_stop,height_walk_after,speed_walk_before,speed_walk_after,delta_walk_to_stop,delta_stop_to_walk
1,1,1,8872,8890,22.5,2.0010571212768555,2.007150014241537,1.9993635940551757,9.651401563884837,3.6927065489142588,0.006092892964681518,-0.007786420186361331
14,14,1,381793,381804,13.75,1.970727710723877,1.9474396965720435,1.9395131797790528,4.361564146029863,3.2231011954354094,-0.023288014151833458,-0.007926516792990723
14,14,2,382000,382015,18.75,1.9534057884216312,1.9994675064086915,1.9946275024414064,6.737093592771562,2.396029432540037,0.04606171798706038,-0.0048400039672851225
14,14,3,382059,382072,16.25,1.999710361480713,1.9638526329627402,1.9754270401000977,2.4400498420357253,13.808369702310978,-0.035857728517972864,0.011574407137357579
16,16,1,395065,395081,20.0,1.976825351715088,1.9747980833053589,1.9648848037719728,3.105386368844865,4.654012746624295,-0.0020272684097291105,-0.009913279533386055
17,17,1,400322,400334,15.0,1.9235659942626953,1.9483105023701983,1.9139081039428714,4.186350537327695,4.18186764695721,0.02474450810750306,-0.03440239842732695
20,20,1,528608,528626,22.5,1.9880872650146486,2.0189272986518016,1.9859075434067672,4.25414881975945,3.2590119914876308,0.03084003363715304,-0.03301975524503442
23,23,1,578743,578755,15.0,1.947331401824951,1.920465819040934,1.89387393951416,2.497379084980859,10.369718768994387,-0.02686558278401696,-0.02659187952677411
23,23,2,578766,578776,12.5,1.9258218231201172,1.896745834350586,1.8771959342956541,2.607623489297584,17.458982582096194,-0.029075988769531103,-0.019549900054931957
