keypoint,mean_conf,std_conf,min_conf,median_conf,pct_above_85,pct_above_90
T1L_TiTa,0.6867006956262598,0.26773345662969145,0.006181915,0.82296443,13.92284518301409,7.512249341900389
T1L_TaT1,0.6996734727847419,0.27513246206655306,0.0030722183,0.845829285,15.198339617888179,9.634613298685666
WingL_V12,0.7048832048702035,0.29192530671560185,0.002353188,0.8830923500000001,17.803504343982283,12.235754199066239
T1L_TaT3,0.7093193008980195,0.2647370384560761,0.0016538228,0.8474889999999999,15.254731494192278,8.201256599948916
T2L_TaT3,0.7221237667475807,0.269134049461917,0.014348218,0.8809108000000001,18.209152628957785,11.582903056124788
T2L_TaTip,0.7241916216992772,0.2748697158562694,0.0024860045,0.8843175999999999,18.422007177572013,12.458230939604126
T1L_FeTi,0.726060989424431,0.2612183659443243,0.017729266,0.855053225,15.705749871995689,11.735166953777322
T1L_TaTip,0.7264002439421564,0.2663479871161714,0.0019051369,0.86229445,16.33416647908252,10.741631900423727
WingR_V12,0.7280569154542034,0.27950382946025176,0.0074272193,0.8956424000000001,18.394540193353574,14.74574669958817
WingR_base,0.7339466541537162,0.25717139228361513,0.025137046,0.8705970000000001,16.868285605317514,11.71038252003457
T2R_TiTa,0.7382895893966621,0.24899199710020936,0.022130148,0.86600045,16.7185293091966,10.662496661390984
T3R_TiTa,0.7384539265331725,0.2556570076662628,0.019307707,0.8699314,17.510814760559043,10.36916559850617
T1R_TiTa,0.7401330609923867,0.24046884136201435,0.026293365,0.8609278300000001,16.296960670311048,9.729902156887215
T2R_FeTi,0.7403922489663686,0.2604976593057435,0.018689312,0.8874859500000001,17.743438539852786,14.038194853468596
T1R_FeTi,0.7430117228071584,0.2360012074258025,0.033019647,0.850736795,15.481232060443695,11.08184928031836
T2L_Tro,0.7484800528535364,0.21576711175365637,0.05158041,0.8491376500000001,15.357543156988685,8.420700892122982
T1R_TaT3,0.7492299880715518,0.2494517923530539,0.022683242,0.8798299300000001,18.01280159740049,12.079874689902995
WingL_base,0.7499494657870687,0.2378236421114244,0.03761376,0.871258175,16.7738714918363,12.26567046850161
T1R_ThxCx,0.7509152851387259,0.21368883249893553,0.025544943,0.84520662,14.790125415066369,6.395316966665228
T2L_TaT1,0.751050371163745,0.2578776043344025,0.03198668,0.8954340999999999,18.806719905574223,14.700843137277772
T2L_TiTa,0.7520901536460104,0.24541163140838715,0.034185067,0.88600233,17.914072076632305,13.511015368681573
T3L_TiTa,0.7537533738459647,0.2636563527618343,0.021888271,0.8985658999999999,19.050015570456022,15.234262467736498
T3L_TaTip,0.7548446881359465,0.2593207101214617,0.00452066,0.894063725,19.25237318242626,14.410252941183332
T3R_TaT1,0.7550381926984339,0.2663591198538877,0.012686381,0.895201385,18.932099982155208,14.765107716064863
T3R_TaT3,0.755570934688258,0.2517776914942759,0.0059198816,0.88351885,19.024298075678246,12.37122299808839
T3L_TaT3,0.7556591144438944,0.2552810533474312,0.00484163,0.8931548,19.675049831290902,13.989908944906245
T2L_FeTi,0.7559548387685447,0.2527951070873556,0.032374963,0.892354535,18.09607729477614,14.532017406253608
T1R_TaTip,0.7585912791967379,0.2452160927387365,0.018704621,0.8869492400000001,18.41809998448786,13.424124059795217
T3L_FeTi,0.7586700590056924,0.25376802005118915,0.01720591,0.8981577000000001,18.911572639384737,15.174138347292315
T1R_TaT1,0.7586740730603087,0.25826414152885024,0.022416884,0.893692665,18.52965909448759,14.621766214559717
T3R_FeTi,0.7635466872938735,0.2467931291355434,0.024575423,0.89138547,18.859554486682303,14.143572434111313
T1L_ThxCx,0.7646316998404328,0.20172588567962155,0.02754769,0.853571365,15.936449212904702,6.8414367740347775
T3L_Tro,0.7646725410517096,0.20511030061043117,0.04650127,0.86246475,16.582069132824735,10.019209394058501
T3L_TaT1,0.7668841715124312,0.26239362101279945,0.008144145,0.90573777,19.55095271363307,16.248266547545875
T2R_TaT3,0.7672341937180193,0.23496702421738097,0.0174736,0.8850566,19.873441933862303,11.823807752104344
T2R_TaT1,0.7675290857854784,0.24702502083925976,0.019501574,0.89251543,19.27144261732951,14.300501636938954
T2R_Tro,0.7690736722957944,0.22197440784727437,0.040836383,0.86358855,16.578395204999342,10.886256360852025
EyeR,0.7706719897833122,0.24920163567037817,0.018259974,0.8950560000000001,19.581802044103462,14.548579239625237
T1L_Tro,0.771443835077012,0.22965659324385546,0.03559606,0.8861665999999999,18.62401489165412,13.394149474045157
T3R_Tro,0.7741419616362555,0.2188777130440428,0.041496065,0.867890975,17.123827696283968,10.977346444395977
Scutellum,0.774312269338835,0.2519080437046475,0.02626229,0.8977625300000001,19.71208069111831,15.082465100601475
Abd_A4,0.7753516083896117,0.2625951547070882,0.02566999,0.9114425500000001,20.198380439308462,17.136540652886133
T1R_Tro,0.7778892324992558,0.22398481314041094,0.038342062,0.8779100500000001,17.96270788308279,12.419042376133232
T2R_TaTip,0.7797110351853228,0.23860194037513804,0.007851847,0.8983346000000001,20.394206624033554,15.097335760847125
EyeL,0.7862227244311318,0.24520259475010692,0.009862146,0.9089712249999999,19.643733970303,16.60084698615454
T3R_TaTip,0.7867163804165107,0.25796860586521225,0.0028884243,0.91958445,20.772912771622813,18.224489819720947
WingL_V13,0.7971567938786758,0.2586198206463759,0.0035645007,0.92521024,22.048873737014414,19.775003994667557
Antenna_Base,0.8136847070071184,0.2399478701767616,0.013592375,0.9240978,21.47848186304297,18.944696306127994
Abd_tip,0.8219437974289467,0.20772153579542746,0.018038524,0.9153394850000001,21.8114097036015,18.294760978920984
WingR_V13,0.8221187010317964,0.22642713990374846,0.003051013,0.9300237250000001,22.308906184211907,20.317112456014918
