bout_idx,start_frame,end_frame,n_frames,duration_s,min_cycles,total_distance_mm,net_displacement_mm,mean_speed_mm_s,max_speed_mm_s,scut_z_mean,scut_z_std,scut_z_min,scut_z_max,height_speed_pearson_r,height_speed_pearson_p,height_speed_spearman_r,height_speed_spearman_p
1,13266,13464,199,0.24875,3,6.559728789858163,6.42112567254784,26.50568390067905,47.20584162888881,2.0799419038858846,0.04918944905923671,1.976397705078125,2.176903915405273,0.6109059056186537,9.580402223016716e-22,0.6253961570718273,5.382883389564064e-23
2,43559,44167,609,0.76125,3,5.195006245081308,3.8597152204197496,6.855934042131769,26.55216561739869,2.1457147895800466,0.03159700610382389,2.078230285644531,2.211960220336914,-0.5463068292461725,1.1211074632593755e-48,-0.5810979263418482,2.7520928725249178e-56
3,50586,50784,199,0.24875,3,6.029536149359834,5.200832515411102,24.390845633780472,56.199718976898424,2.2117188573482642,0.04038723775361407,2.125275039672852,2.3062465667724608,-0.18807690237092262,0.007808969606216958,-0.2424205277982998,0.0005609549425903525
4,79860,80089,230,0.2875,3,7.387292610882678,7.201328004132684,25.810099691020735,53.14763209851905,2.1081328781791355,0.037184302155843424,2.036498641967773,2.219190979003906,0.6026141047464146,3.9803988303542245e-24,0.529385004249707,5.161996669937282e-18
5,107609,107820,212,0.265,3,6.194190214077285,5.973364049692265,23.415042028946772,54.837461587198646,2.1201182455386753,0.025529032872828313,2.040893173217773,2.1756160736083983,0.2708641933089307,6.456547355238241e-05,0.26912273443304185,7.223854756049697e-05
6,107949,108079,131,0.16375,2,4.137189311163486,3.9626387581248506,25.463516141924497,40.46196720804891,2.0538334067541224,0.04730275922441203,1.9334125518798828,2.1215957641601557,-0.0021941355840836754,0.980156764963408,-0.02671759290771731,0.7619507419580783
7,130478,130597,120,0.15,2,4.373026968105617,4.129124293668136,29.268014275172096,52.500186143556625,2.1255976486206056,0.05755569668318016,1.9890674591064452,2.2216472625732426,0.34489059728151544,0.00011450781331049182,0.24837531838241195,0.006231624590419737
8,137577,137793,217,0.27125,3,6.28654973477098,6.071929227887933,23.24304795733138,54.20525630302142,2.121605497790921,0.02561514352602958,2.031591796875,2.168784713745117,-0.31778967256387497,1.763829339272195e-06,-0.3711018399720495,1.7232968016092265e-08
9,144833,144959,127,0.15875,2,3.8438712274571083,3.4786639692382257,24.362856872060288,43.712822560911604,2.088378533791369,0.04319780880470982,2.0026817321777344,2.145022964477539,0.33112439842758734,0.00014322396668804062,0.30422511281597947,0.0005064042128987014
10,162274,162718,445,0.55625,2,4.811787912748006,3.2105547209246432,8.670395293447795,34.66183548120168,2.0840474426612423,0.06173149615310871,1.9483322143554687,2.1838706970214843,0.02291470406620858,0.6297420610599699,-0.0566431190718156,0.2330712410447751
11,162727,162943,217,0.27125,2,3.7973317253765666,3.539321781524253,14.064608655390042,26.353944702432187,2.0351299567156675,0.03607377420533185,1.952602005004883,2.098457717895508,0.05594746105942668,0.4121932954823887,0.0533741472112285,0.43405770809921623
12,189747,189924,178,0.2225,2,4.004058093451046,3.871463350764461,18.090752078636587,34.21296844347169,2.0465980765524874,0.016238167210057462,2.0102462768554688,2.083591842651367,0.40168325361750246,2.7411891929019125e-08,0.35459931260733896,1.1956352109203882e-06
13,199908,200088,181,0.22625,2,4.44955334290934,4.192191588020471,19.74623331208556,41.16521620451546,2.013431991661451,0.048868910820481934,1.9407562255859372,2.1236614227294917,0.4974274300622359,1.0517164590141798e-12,0.489178196617449,2.7987126900137747e-12
14,213453,213858,406,0.5075,2,5.869669435122409,4.610640493298069,11.579296005982878,30.64938351360958,2.0544336563260686,0.07847221258764756,1.937502670288086,2.23028678894043,0.1841388309094863,0.0001908685705728379,0.2235040435423371,5.435216054204245e-06
15,243015,243224,210,0.2625,3,6.059364719941152,5.891547546937095,23.161160844860692,48.192176086409155,2.051371314639137,0.03232738949818958,1.9574115753173829,2.122946548461914,0.6507808592954529,1.117060279497946e-26,0.6614146292318699,8.600016931595672e-28
16,243289,243511,223,0.27875,3,5.404172754997864,4.987788218085445,19.41341130517843,46.27262501510075,2.1239769580652896,0.028479274843747453,2.0604358673095704,2.195490264892578,0.3170386309023792,1.34457645849607e-06,0.28452024335802417,1.600223132784125e-05
17,319784,320016,233,0.29125,4,9.429253235930235,9.016059000850063,32.47643630296215,54.83037714417559,2.0814905289416665,0.045963344677078063,1.98864860534668,2.171216583251953,-0.1451547564327881,0.026724258496804033,-0.018445263422278514,0.7794281520563682
18,343104,343296,193,0.24125,2,3.444741167496643,2.581185268129666,14.310827806812801,30.283764168463424,2.0825703121837553,0.034249690916243074,2.02667350769043,2.169143295288086,-0.44003063700592654,1.5227988229536357e-10,-0.44718349680154884,7.051417728745339e-11
19,343664,343866,203,0.25375,2,3.0171840440238578,2.3797186584200705,11.91959630523665,23.537176860637118,1.9754586816421282,0.02140292621259146,1.9266086578369142,2.013524627685547,0.30915200894072037,7.190476172335558e-06,0.27097981033616997,9.212664247480268e-05
20,380767,380925,159,0.19875,2,3.2467601059403144,1.3904931305672845,16.421680614497358,50.88504505007536,1.959953176150532,0.08005311420321759,1.722426414489746,2.058432006835937,-0.19845391552683453,0.012153442840906966,-0.29413832557502045,0.00016770254620394095
21,457619,457897,279,0.34875,2,4.2128362654709965,3.770861328999109,12.153152005728524,31.5013236910621,2.005704983673643,0.06365816465211536,1.8024518966674805,2.076129531860352,-0.21989822319029403,0.00021395041259177254,-0.1358872536837714,0.02320065604892299
22,488865,489020,156,0.195,2,4.506446646326699,4.278669594605515,23.225166797464535,38.72038575339405,2.040291160192245,0.039209003577505314,1.9250953674316407,2.1287109375,0.2953438680177626,0.00018181806528006313,0.29241065607527267,0.00021211852429969667
23,523612,524030,419,0.52375,3,6.026711024486122,4.609464854663728,11.554851958719114,35.113573517245186,1.9673165341834749,0.06167402607806779,1.8417797088623047,2.1113559722900392,0.01083180507358636,0.8250413271392361,0.00963626288694166,0.8440899468123504
