bout_idx,bout_id,stop_num,stop_start_frame,stop_end_frame,stop_duration_ms,height_walk_before,height_during_stop,height_walk_after,speed_walk_before,speed_walk_after,delta_walk_to_stop,delta_stop_to_walk
2,2,1,43691,43702,13.75,2.1446353378295897,2.1607013355601916,2.175463523864746,6.29767511561289,1.6290921895629384,0.01606599773060191,0.014762188304554336
2,2,2,43716,43758,52.5,2.1564716415405276,2.1771780195690336,2.1459381790161136,2.5837056604029125,3.7712457497438026,0.020706378028505945,-0.03123984055291995
10,10,1,162472,162483,13.75,2.161534408569336,2.155394051291726,2.1502741622924804,10.90070570626287,3.5855417712100226,-0.00614035727761042,-0.0051198889992454255
10,10,2,162600,162611,13.75,2.0594396743774412,2.0509348782626065,2.0628823471069335,4.328380579876035,4.471373333782876,-0.00850479611483479,0.01194746884432707
21,21,1,457855,457866,13.75,2.0303441390991206,2.0528901880437678,2.0241194325108682,2.49810560942643,5.835483229165872,0.02254604894464718,-0.02877075553289954
21,21,2,457869,457885,20.0,2.042721580505371,2.0347899436950683,2.002974796295166,2.1893318141136895,11.68898359364549,-0.007931636810302845,-0.03181514739990243
26,26,1,580627,580638,13.75,2.0134931221008303,2.0379826285622338,2.0498306922912595,4.696136857409161,2.7212116870177203,0.024489506461403465,0.011848063729025693
26,26,2,580652,580664,15.0,2.034180236816406,2.0704015413920085,2.031191268920899,2.5600515812393785,3.342459236218968,0.03622130457560235,-0.03921027247110942
26,26,3,580717,580733,20.0,2.028487678527832,2.006232118606567,2.001450973510742,3.420615121629428,1.760501460715104,-0.022255559921264823,-0.004781145095825057
26,26,4,580741,580766,31.25,2.016584808349609,2.003769348144531,1.98200186920166,2.538137709684331,3.6929726238471563,-0.012815460205077844,-0.02176747894287101
26,26,5,580773,580784,13.75,2.0030142822265624,1.9971304806795986,1.9783861846923825,1.8866454579859397,5.780156001112294,-0.005883801546963774,-0.018744295987216164
