bout_idx,start_frame,end_frame,height_pre_static,speed_pre_static,pre_is_static,height_walk_start,speed_walk_start,height_walk_end,speed_walk_end,height_post_static,speed_post_static,post_is_static,delta_height_start,delta_height_end
1,13266,13464,1.940086824417114,11.613450829618653,False,2.0546573638916015,22.094969881998182,2.1044270973205568,30.936091824319742,2.1808179931640623,19.260730689336548,False,0.11457053947448737,0.07639089584350556
2,43559,44167,2.1575473556518556,13.09396694691624,False,2.128466297149658,11.783686935372959,2.139118980407715,5.543134810848625,2.1196580543518064,22.357007132129944,False,-0.029081058502197443,-0.019460926055908434
3,50586,50784,2.203960990905762,25.727077627168324,False,2.1906878776550287,31.00644402420646,2.2334920196533203,17.50322828750989,2.1692673454284668,16.020216628470894,False,-0.013273113250733104,-0.06422467422485356
4,79860,80089,2.0989880561828613,13.629101056475307,False,2.086552177429199,20.685861244922613,2.128283359527588,30.950823378372778,2.1067047843933104,17.583418143595104,False,-0.012435878753662255,-0.02157857513427741
5,107609,107820,2.2469209823608396,9.092271524720394,False,2.1131890983581543,19.01239896722142,2.1264272994995115,28.27531622315948,2.1029787750244138,16.740821802169553,False,-0.13373188400268532,-0.02344852447509771
6,107949,108079,2.0842465362548825,18.385385623162346,False,2.0382476806640626,26.17031341835368,2.0740740470886228,24.936723521191198,2.1512039299011234,20.301062855125064,False,-0.045998855590819954,0.07712988281250066
7,130478,130597,2.100658008575439,12.984009150620338,False,2.143042865753174,30.121677293947375,2.1204527587890625,30.62705900149316,2.0450674591064453,16.887199371424398,False,0.04238485717773477,-0.0753852996826172
8,137577,137793,2.1995942850222536,9.89283631490277,False,2.1362811317443846,16.118020013918,2.108797863006592,30.790415757571125,2.1170390968322756,12.241665750569835,False,-0.06331315327786902,0.008241233825683647
9,144833,144959,2.0306704978942864,8.033418121391712,False,2.092791877746582,21.96683217775791,2.1053049583435057,26.840413410609713,2.077043266296387,25.12075298129257,False,0.06212137985229571,-0.028261692047118814
10,162274,162718,2.139592086791992,11.952506874323552,False,2.0233623008728028,13.69036385260064,2.051829677581787,5.309333663202462,2.002000129699707,12.7289800364231,False,-0.11622978591918942,-0.049829547882079606
11,162727,162943,2.047140720367431,5.380810368847648,False,2.006303806304932,13.344373744042601,2.060420352935791,13.99815029403298,2.0674852752685546,3.526701080203954,False,-0.04083691406249912,0.007064922332763679
12,189747,189924,2.2848236980438235,7.929338993540033,False,2.0464080505371096,14.742606952316288,2.0469568824768065,21.371410464959148,1.9301694450378417,14.654945842801313,False,-0.23841564750671385,-0.1167874374389648
13,199908,200088,2.043918670654297,12.231047679351148,False,1.9796880874633787,18.513757321561084,2.048804992675781,21.742598030508795,1.8824521465301514,12.085461769681613,False,-0.06423058319091846,-0.16635284614562984
14,213453,213858,2.2064945392608646,7.908518200389866,False,2.14088984298706,13.84157539449255,1.9569098911285403,8.53938094038632,1.9207900676727296,13.659988745834262,False,-0.06560469627380439,-0.03611982345581066
15,243015,243224,2.098658302307129,6.769650190473547,False,2.03169421005249,16.959326909049175,2.0703013877868655,29.323637658369872,2.1017848815917968,11.749689636258054,False,-0.06696409225463906,0.03148349380493132
16,243289,243511,2.093711559295654,19.562750888946137,False,2.125853660583496,12.862909699632121,2.1261042480468753,24.962835141035473,2.1133555183410646,15.476851148295598,False,0.032142101287842006,-0.012748729705810646
17,319784,320016,2.010463111877441,15.686702989694044,False,2.0349693756103515,35.013315871203325,2.1175481300354004,28.147281465573137,2.340750335693359,17.22306478916962,False,0.024506263732910316,0.22320220565795879
18,343104,343296,2.3077172851562495,6.833653652387203,False,2.0978950119018553,13.694807552762315,2.064756248474121,15.102926736455519,2.0907847061157225,13.832941098733066,False,-0.20982227325439418,0.026028457641601666
19,343664,343866,1.9302751064300536,6.250066555511015,False,1.962638536453247,10.548834205335051,1.9882684173583984,13.196949049442233,1.9246905307769777,9.879625632440002,False,0.03236343002319342,-0.06357788658142072
20,380767,380925,1.9255040130615233,11.814717948423677,False,2.006252336502075,14.611456143770333,1.9215839824676513,19.150381610660105,1.8493892669677734,14.620944279628539,False,0.08074832344055172,-0.07219471549987788
21,457619,457897,1.8428723125457764,10.195080144618135,False,1.9771177177429198,16.04714441255668,2.0275308418273927,3.835383280312595,2.0048966598510742,13.052218204162557,False,0.13424540519714334,-0.0226341819763185
22,488865,489020,2.089746604919434,27.860333358442485,False,2.0226443367004396,20.27150266209994,2.0478303871154786,25.524768773416593,2.127256483078003,13.7689166051585,False,-0.06710226821899434,0.07942609596252437
23,523612,524030,2.1582112045288087,7.688310509415114,False,2.0201340408325192,6.967950751286223,1.9522628993988038,11.113909157117124,1.943818302154541,13.481339626987191,False,-0.13807716369628942,-0.00844459724426283
24,542443,542695,2.003922763824463,11.665113634187684,False,1.914939245223999,9.479258388242048,1.9911546707153323,16.094174704061505,1.9005751094818115,18.26252430405098,False,-0.08898351860046394,-0.09057956123352073
25,569145,569327,1.9980703887939455,22.41377205543306,False,2.030988819122314,26.41574155247195,2.0875879707336424,24.18137031398069,2.0010788955688477,17.936421454470327,False,0.03291843032836872,-0.08650907516479478
26,580490,581214,2.169209421157837,8.230505942128316,False,2.044754501342774,5.045529651669339,2.0095129127502442,15.809636032125882,1.9728750114440916,7.316869360497399,False,-0.12445491981506285,-0.03663790130615263
27,589893,590033,2.010720443725586,17.819352504429887,False,2.034666801452637,23.976149761684425,2.0282345428466795,22.522333403627957,1.9899597892761234,12.969635761921046,False,0.02394635772705067,-0.0382747535705561
